[WARNING][2018-04-16 18:41:00,372][basehttp.py][log_message][124]> "GET /favicon.ico HTTP/1.1" 404 3178
[ERROR][2018-04-16 18:41:06,422][basehttp.py][log_message][124]> "GET /static/ckeditor/ckeditor/skins/moono-lisa/editor_gecko.css?t=H8DA HTTP/1.1" 500 59
[ERROR][2018-04-16 18:48:59,447][basehttp.py][log_message][124]> "GET /static/css/bootstrap.css HTTP/1.1" 500 59
[ERROR][2018-04-16 18:48:59,458][basehttp.py][log_message][124]> "GET /static/css/style.css HTTP/1.1" 500 59
[ERROR][2018-04-16 18:48:59,483][basehttp.py][log_message][124]> "GET /static/images/4.jpg HTTP/1.1" 500 59
[ERROR][2018-04-16 18:48:59,484][basehttp.py][log_message][124]> "GET /static/images/5.jpg HTTP/1.1" 500 59
[ERROR][2018-04-16 18:48:59,505][basehttp.py][log_message][124]> "GET /static/images/6.jpg HTTP/1.1" 500 59
[ERROR][2018-04-16 18:48:59,587][basehttp.py][log_message][124]> "GET /static/images/banner.png HTTP/1.1" 500 59
[ERROR][2018-04-16 18:48:59,589][basehttp.py][log_message][124]> "GET /static/images/2.jpg HTTP/1.1" 500 59
[ERROR][2018-04-16 18:48:59,609][basehttp.py][log_message][124]> "GET /static/images/1.jpg HTTP/1.1" 500 59
[ERROR][2018-04-16 19:08:00,107][basehttp.py][log_message][124]> "GET /static/css/bootstrap.css HTTP/1.1" 500 59
[ERROR][2018-04-16 19:08:00,125][basehttp.py][log_message][124]> "GET /static/css/style.css HTTP/1.1" 500 59
[ERROR][2018-04-16 19:18:58,316][basehttp.py][log_message][124]> "GET /static/css/bootstrap.css HTTP/1.1" 500 59
[ERROR][2018-04-16 19:18:58,319][basehttp.py][log_message][124]> "GET /static/css/style.css HTTP/1.1" 500 59
[ERROR][2018-04-16 19:31:32,993][basehttp.py][log_message][124]> "GET /media/titleimg/2018/04/14/mn_0PXd05G.jpg HTTP/1.1" 500 59
[ERROR][2018-04-16 19:34:41,318][basehttp.py][log_message][124]> "GET /static/ui/themes/default/easyui.css HTTP/1.1" 500 59
[ERROR][2018-04-16 19:34:41,344][basehttp.py][log_message][124]> "GET /static/ui/themes/icon.css HTTP/1.1" 500 59
[ERROR][2018-04-16 19:34:41,375][basehttp.py][log_message][124]> "GET /static/ui/demo/demo.css HTTP/1.1" 500 59
[ERROR][2018-04-16 19:34:43,230][basehttp.py][log_message][124]> "GET /user/password_change/ HTTP/1.1" 500 59
[ERROR][2018-04-16 19:35:08,330][basehttp.py][log_message][124]> "GET /static/ckeditor/ckeditor/skins/moono-lisa/editor_gecko.css?t=H8DA HTTP/1.1" 500 59
[ERROR][2018-04-16 19:35:08,397][basehttp.py][log_message][124]> "GET /static/ckeditor/ckeditor/plugins/scayt/skins/moono-lisa/scayt.css HTTP/1.1" 500 59
[ERROR][2018-04-16 19:35:08,398][basehttp.py][log_message][124]> "GET /static/ckeditor/ckeditor/plugins/scayt/dialogs/dialog.css HTTP/1.1" 500 59
[WARNING][2018-04-16 19:35:18,311][basehttp.py][log_message][124]> "GET /user/pubicatio HTTP/1.1" 404 5636
[ERROR][2018-04-16 19:35:22,725][basehttp.py][log_message][124]> "GET /static/css/bootstrap.css HTTP/1.1" 500 59
[ERROR][2018-04-16 19:35:22,729][basehttp.py][log_message][124]> "GET /static/css/style.css HTTP/1.1" 500 59
[ERROR][2018-04-16 19:38:46,937][basehttp.py][log_message][124]> "GET /static/css/bootstrap.css HTTP/1.1" 500 59
[ERROR][2018-04-16 19:38:46,953][basehttp.py][log_message][124]> "GET /static/css/style.css HTTP/1.1" 500 59
[ERROR][2018-04-16 19:38:48,298][basehttp.py][log_message][124]> "GET /static/ui/themes/default/easyui.css HTTP/1.1" 500 59
[ERROR][2018-04-16 19:38:48,302][basehttp.py][log_message][124]> "GET /static/ui/themes/icon.css HTTP/1.1" 500 59
[ERROR][2018-04-16 19:38:48,302][basehttp.py][log_message][124]> "GET /static/ui/demo/demo.css HTTP/1.1" 500 59
[ERROR][2018-04-16 19:38:48,338][basehttp.py][log_message][124]> "GET /static/admin/dist/css/sb-admin-2.css HTTP/1.1" 500 59
[ERROR][2018-04-16 19:39:16,198][basehttp.py][log_message][124]> "GET /static/css/bootstrap.css HTTP/1.1" 500 59
[ERROR][2018-04-16 19:53:51,506][basehttp.py][log_message][124]> "GET /static/css/bootstrap.css HTTP/1.1" 500 59
[ERROR][2018-04-16 19:53:51,510][basehttp.py][log_message][124]> "GET /static/css/style.css HTTP/1.1" 500 59
[ERROR][2018-04-16 19:53:56,659][basehttp.py][log_message][124]> "GET /static/css/bootstrap.css HTTP/1.1" 500 59
[ERROR][2018-04-16 19:53:56,661][basehttp.py][log_message][124]> "GET /static/css/style.css HTTP/1.1" 500 59
[ERROR][2018-04-16 20:06:47,441][basehttp.py][log_message][124]> "GET /static/ui/themes/default/easyui.css HTTP/1.1" 500 59
[ERROR][2018-04-16 20:06:47,443][basehttp.py][log_message][124]> "GET /static/ui/themes/icon.css HTTP/1.1" 500 59
[ERROR][2018-04-16 20:06:47,443][basehttp.py][log_message][124]> "GET /static/ui/demo/demo.css HTTP/1.1" 500 59
