[ERROR][2018-04-14 09:01:04,888][basehttp.py][log_message][124]> "GET /static/images/logo.jpg HTTP/1.1" 500 59
[WARNING][2018-04-14 09:09:53,543][basehttp.py][log_message][124]> "GET /favicon.ico HTTP/1.1" 404 3069
[WARNING][2018-04-14 09:09:53,543][basehttp.py][log_message][124]> "GET /favicon.ico HTTP/1.1" 404 3069
[ERROR][2018-04-14 09:09:53,543][basehttp.py][log_message][124]> "GET /favicon.ico HTTP/1.1" 500 59
[ERROR][2018-04-14 09:14:11,451][basehttp.py][log_message][124]> "GET /user/password_change/ HTTP/1.1" 500 116297
[ERROR][2018-04-14 09:15:42,765][basehttp.py][log_message][124]> "GET /static/images/co.png HTTP/1.1" 500 59
[ERROR][2018-04-14 09:15:42,811][basehttp.py][log_message][124]> "GET /media/avatar/2018/04/10/c3.jpg HTTP/1.1" 500 59
[ERROR][2018-04-14 09:16:00,203][basehttp.py][log_message][124]> "GET /static/images/5.jpg HTTP/1.1" 500 59
[ERROR][2018-04-14 09:16:00,219][basehttp.py][log_message][124]> "GET /static/images/6.jpg HTTP/1.1" 500 59
[ERROR][2018-04-14 09:23:17,987][basehttp.py][log_message][124]> "GET /media/avatar/2018/04/10/c3.jpg HTTP/1.1" 500 59
[ERROR][2018-04-14 10:10:07,433][basehttp.py][log_message][124]> "GET /user/pubication HTTP/1.1" 500 58646
[ERROR][2018-04-14 10:10:41,192][basehttp.py][log_message][124]> "GET /static/images/logo.jpg HTTP/1.1" 500 59
[ERROR][2018-04-14 10:29:10,124][basehttp.py][log_message][124]> "GET /static/ui/themes/default/easyui.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:29:10,127][basehttp.py][log_message][124]> "GET /static/ui/themes/icon.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:29:10,144][basehttp.py][log_message][124]> "GET /static/ui/demo/demo.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:29:12,404][basehttp.py][log_message][124]> "GET /static/ui/themes/default/easyui.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:29:12,406][basehttp.py][log_message][124]> "GET /static/ui/themes/icon.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:29:12,433][basehttp.py][log_message][124]> "GET /static/ui/demo/demo.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:29:12,443][basehttp.py][log_message][124]> "GET /static/admin/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:30:48,577][basehttp.py][log_message][124]> "GET /static/ui/themes/default/easyui.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:30:48,593][basehttp.py][log_message][124]> "GET /static/ui/themes/icon.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:30:48,671][basehttp.py][log_message][124]> "GET /static/ui/demo/demo.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:30:50,731][basehttp.py][log_message][124]> "GET /static/ui/themes/icon.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:30:50,778][basehttp.py][log_message][124]> "GET /static/ui/demo/demo.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:30:50,778][basehttp.py][log_message][124]> "GET /static/admin/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:30:50,809][basehttp.py][log_message][124]> "GET /static/admin/bower_components/metisMenu/dist/metisMenu.min.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:30:50,856][basehttp.py][log_message][124]> "GET /static/admin/dist/css/sb-admin-2.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:30:50,856][basehttp.py][log_message][124]> "GET /static/admin/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:30:50,856][basehttp.py][log_message][124]> "GET /static/admin/css/common.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:33:12,171][basehttp.py][log_message][124]> "GET /static/admin/css/responsive.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:33:12,172][basehttp.py][log_message][124]> "GET /static/admin/css/base.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:33:25,605][basehttp.py][log_message][124]> "GET /static/admin/css/base.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:33:31,204][basehttp.py][log_message][124]> "GET /static/ckeditor/ckeditor/skins/moono-lisa/editor_gecko.css?t=H8DA HTTP/1.1" 500 59
[ERROR][2018-04-14 10:49:10,028][basehttp.py][log_message][124]> "GET /static/css/bootstrap.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:49:10,038][basehttp.py][log_message][124]> "GET /static/images/5.jpg HTTP/1.1" 500 59
[ERROR][2018-04-14 10:49:10,043][basehttp.py][log_message][124]> "GET /static/css/style.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:49:10,082][basehttp.py][log_message][124]> "GET /static/images/6.jpg HTTP/1.1" 500 59
[ERROR][2018-04-14 10:49:12,503][basehttp.py][log_message][124]> "GET /static/ui/themes/default/easyui.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:49:12,507][basehttp.py][log_message][124]> "GET /static/ui/themes/icon.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:49:12,533][basehttp.py][log_message][124]> "GET /static/admin/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:49:29,311][basehttp.py][log_message][124]> "GET /static/admin/dist/css/sb-admin-2.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:49:29,384][basehttp.py][log_message][124]> "GET /static/admin/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:49:29,468][basehttp.py][log_message][124]> "GET /static/ui/demo/demo.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:51:32,185][basehttp.py][log_message][124]> "GET /static/admin/css/base.css HTTP/1.1" 500 59
[ERROR][2018-04-14 10:51:35,498][basehttp.py][log_message][124]> "GET /static/ckeditor/ckeditor/config.js?t=H8DA HTTP/1.1" 500 59
[ERROR][2018-04-14 10:51:35,545][basehttp.py][log_message][124]> "GET /static/ckeditor/ckeditor/skins/moono-lisa/editor_gecko.css?t=H8DA HTTP/1.1" 500 59
